,n_ref,Bleu_4,METEOR,ROUGE_L,CIDEr,CIDEr-R,SPICE
0,1,0.7141,0.6692,0.6319,0.6578,0.7101,0.4661
1,2,0.783,0.7085,0.6602,0.7417,0.7798,0.5773
2,3,0.8047,0.7266,0.6745,0.7818,0.8126,0.622
3,4,0.8187,0.7365,0.6851,0.8008,0.8265,0.6489
