,n_ref,Bleu_4,METEOR,ROUGE_L,CIDEr,CIDEr-R,SPICE
0,1,0.299,0.31,0.2835,0.3045,0.3045,0.253
1,2,0.1945,0.1955,0.184,0.191,0.189,0.188
2,3,0.1055,0.1055,0.105,0.1045,0.104,0.1065
3,4,0.0005,0.0005,0.0005,0.003,0.003,0.0175
